indicator,closest_climate_indicator,climate_similarity,second_closest_climate_indicator,second_closest_similarity,third_closest_climate_indicator,third_closest_similarity,nearest_rank
Present value of external debt (% of GNI),External debt stocks (% of GNI),0.9577575807063612,Short-term debt (% of total external debt),0.8314805285291311,"External debt stocks, short-term (DOD, current US$)",0.823645001585656,115
Adequacy of social insurance programs (% of total welfare of beneficiary households),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),0.9574988786209565,Coverage of social protection and labor programs (% of population),0.7884145051576169,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),0.7694628274879005,116
"School enrollment, primary, male (% net)","School enrollment, primary (% net)",0.9562511126110916,"School enrollment, primary (% gross)",0.8831992075879979,"School enrollment, primary, private (% of total primary)",0.8588834475221685,117
"Primary education, teachers (% female)","Primary education, teachers",0.9557966907123696,Trained teachers in primary education (% of total teachers),0.7874025738060003,"Secondary education, teachers",0.7024555829180069,118
"Persistence to last grade of primary, female (% of cohort)","Persistence to last grade of primary, total (% of cohort)",0.9542676036524389,"Persistence to grade 5, total (% of cohort)",0.9177586466894841,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.3779512894348982,119
"Persistence to last grade of primary, male (% of cohort)","Persistence to last grade of primary, total (% of cohort)",0.9531307580281674,"Persistence to grade 5, total (% of cohort)",0.9169064587106404,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.37725181791866413,120
"Present value of external debt (% of exports of goods, services and primary income)","Short-term debt (% of exports of goods, services and primary income)",0.9529592932718323,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.8548110163081569,"Total debt service (% of exports of goods, services and primary income)",0.8220587514082777,121
"Progression to secondary school, female (%)",Progression to secondary school (%),0.952722471250042,Adolescents out of school (% of lower secondary school age),0.8620603933165172,Lower secondary school starting age (years),0.7968752905093278,122
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),Coverage of social insurance programs in poorest quintile (% of population),0.9526048772672544,Coverage of social insurance programs in richest quintile (% of population),0.9383982211244383,Coverage of social insurance programs in 3rd quintile (% of population),0.9382483717042029,123
"Progression to secondary school, male (%)",Progression to secondary school (%),0.950376991239644,Adolescents out of school (% of lower secondary school age),0.8612424467424395,Lower secondary school starting age (years),0.7967104807017995,124
"Persistence to grade 5, female (% of cohort)","Persistence to grade 5, total (% of cohort)",0.9491146044268614,"Persistence to last grade of primary, total (% of cohort)",0.9235493866985237,Net intake rate in grade 1 (% of official school-age population),0.3591711586473919,125
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.9488426508882117,"Suicide mortality rate (per 100,000 population)",0.8992610302689893,"Mortality caused by road traffic injury (per 100,000 population)",0.8479882420497226,126
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Pregnant women receiving prenatal care (%),0.9487954418598216,Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.8828566496932043,Prevalence of anemia among pregnant women (%),0.8753368189531383,127
"Persistence to grade 5, male (% of cohort)","Persistence to grade 5, total (% of cohort)",0.9478198119967686,"Persistence to last grade of primary, total (% of cohort)",0.9220762966341675,Net intake rate in grade 1 (% of official school-age population),0.35941714801159086,128
"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",0.9476813160532986,"Share of youth not in education, employment or training, total (% of youth population)",0.8849641933175392,Female share of employment in senior and middle management (%),0.6103121006868468,129
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),Coverage of social safety net programs in poorest quintile (% of population),0.9469340363959163,Coverage of social safety net programs in richest quintile (% of population),0.9351293152221233,Coverage of social safety net programs in 3rd quintile (% of population),0.9348881232029732,130
"Share of youth not in education, employment or training, male (% of male youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",0.9458044162040105,"Share of youth not in education, employment or training, total (% of youth population)",0.8830496465904708,Female share of employment in senior and middle management (%),0.4371991330359414,131
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",Labor force with intermediate education (% of total working-age population with intermediate education),0.94465969739877,Unemployment with intermediate education (% of total labor force with intermediate education),0.8848901087073072,Labor force with basic education (% of total working-age population with basic education),0.5031542509284332,132
"Labor force with advanced education, female (% of female working-age population with advanced education)",Labor force with advanced education (% of total working-age population with advanced education),0.9433242082403194,Unemployment with advanced education (% of total labor force with advanced education),0.881840764404865,Labor force with basic education (% of total working-age population with basic education),0.5170780483627233,133
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",Labor force with intermediate education (% of total working-age population with intermediate education),0.942732657058303,Unemployment with intermediate education (% of total labor force with intermediate education),0.8830658390659029,Labor force with basic education (% of total working-age population with basic education),0.5029931921232165,134
"Children out of school, primary, female","Children out of school, primary",0.942534286441756,Children out of school (% of primary school age),0.8812828186125268,"Adjusted net enrollment rate, primary (% of primary school age children)",0.7403566075053981,135
Population living in slums (% of urban population),Population in urban agglomerations of more than 1 million,0.9425242258833383,Population in urban agglomerations of more than 1 million (% of total population),0.9090873396520132,Population in largest city,0.8651026605517058,136
"Labor force with advanced education, male (% of male working-age population with advanced education)",Labor force with advanced education (% of total working-age population with advanced education),0.9413246007653964,Unemployment with advanced education (% of total labor force with advanced education),0.8798925012332928,Labor force with basic education (% of total working-age population with basic education),0.5170318635171994,137
"Children out of school, primary, male","Children out of school, primary",0.9403604158657116,Children out of school (% of primary school age),0.8796320793622647,"Adjusted net enrollment rate, primary (% of primary school age children)",0.7379425867766589,138
Urban population living in areas where elevation is below 5 meters (% of total population),Population living in areas where elevation is below 5 meters (% of total population),0.9347225499429699,Population in urban agglomerations of more than 1 million (% of total population),0.8197500684165118,Population in urban agglomerations of more than 1 million,0.6719287526395709,139
"Prevalence of underweight, weight for age, female (% of children under 5)","Prevalence of underweight, weight for age (% of children under 5)",0.9341497346477696,"Prevalence of overweight, weight for height (% of children under 5)",0.7767184286056473,"Prevalence of wasting, weight for height (% of children under 5)",0.7342178321290429,140
Rural population living in areas where elevation is below 5 meters (% of total population),Population living in areas where elevation is below 5 meters (% of total population),0.9331716355846543,"Population, total",0.6613262832236068,Marine protected areas (% of territorial waters),0.6528992213720479,141
"Share of youth not in education, employment or training, female (% of female youth population)","Share of youth not in education, employment or training, total (% of youth population)",0.9328100815693637,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",0.8825283805952029,Female share of employment in senior and middle management (%),0.6093060877296053,142
"Labor force with basic education, female (% of female working-age population with basic education)",Labor force with basic education (% of total working-age population with basic education),0.9322807834593495,Unemployment with basic education (% of total labor force with basic education),0.8573738590967865,Labor force with advanced education (% of total working-age population with advanced education),0.4992273462431558,143
"Prevalence of underweight, weight for age, male (% of children under 5)","Prevalence of underweight, weight for age (% of children under 5)",0.9317360879883235,"Prevalence of overweight, weight for height (% of children under 5)",0.7758416435380776,"Prevalence of wasting, weight for height (% of children under 5)",0.7335278120285854,144
"Share of youth not in education, employment or training, male (% of male youth population)","Share of youth not in education, employment or training, total (% of youth population)",0.9304355408530123,"Share of youth not in education, employment or training, total (% of youth population) (modeled ILO estimate)",0.8805583502896008,Female share of employment in senior and middle management (%),0.4137922291235323,145
"Labor force with basic education, male (% of male working-age population with basic education)",Labor force with basic education (% of total working-age population with basic education),0.9300918358623187,Unemployment with basic education (% of total labor force with basic education),0.8555314782420831,Labor force with advanced education (% of total working-age population with advanced education),0.4972105054852741,146
"People practicing open defecation, urban (% of urban population)",Population in urban agglomerations of more than 1 million,0.9286759927588099,Population in urban agglomerations of more than 1 million (% of total population),0.7396830999469662,People practicing open defecation (% of population),0.6603711179467446,147
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.9282161902097289,Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.9109265669446882,Pregnant women receiving prenatal care (%),0.8947410191895658,148
Present value of external debt (current US$),"External debt stocks, short-term (DOD, current US$)",0.927777646852504,"External debt stocks, long-term (DOD, current US$)",0.923335753960686,"External debt stocks, total (DOD, current US$)",0.9128586159494618,149
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.9271324784569452,Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.9072166559452076,Pregnant women receiving prenatal care (%),0.9018220029378414,150
"Condom use, population ages 15-24, female (% of females ages 15-24)","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.9262309191359543,Young people (ages 15-24) newly infected with HIV,0.8164656947996884,"Literacy rate, adult total (% of people ages 15 and above)",0.6937853378244899,151
"Condom use, population ages 15-24, male (% of males ages 15-24)","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.9259527787835444,Young people (ages 15-24) newly infected with HIV,0.8161685262107604,"Literacy rate, adult total (% of people ages 15 and above)",0.6935224605734052,152
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",Unemployment with intermediate education (% of total labor force with intermediate education),0.9254372941471268,Labor force with intermediate education (% of total working-age population with intermediate education),0.8694674480431821,"Labor force, total",0.44685810943233295,153
"Unemployment with advanced education, female (% of female labor force with advanced education)",Unemployment with advanced education (% of total labor force with advanced education),0.9243704903383833,Labor force with advanced education (% of total working-age population with advanced education),0.8663746369447319,"Labor force, total",0.4439984825538654,154
"Prevalence of current tobacco use, females (% of female adults)",Prevalence of current tobacco use (% of adults),0.923891330813478,Energy use (kg of oil equivalent per capita),0.4998433483030058,"Use of IMF credit (DOD, current US$)",0.4756215803664513,155
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Unmet need for contraception (% of married women ages 15-49),0.9231720869167024,"Contraceptive prevalence, any method (% of married women ages 15-49)",0.9114735455143319,"Contraceptive prevalence, any modern method (% of married women ages 15-49)",0.907692278857337,156
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.922679753138114,Electric power consumption (kWh per capita),0.5448753188653163,"Life expectancy at birth, total (years)",0.47899380974399897,157
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",Unemployment with intermediate education (% of total labor force with intermediate education),0.9222332948622443,Labor force with intermediate education (% of total working-age population with intermediate education),0.8665255567165193,"Labor force, total",0.4472535041699095,158
Rural land area where elevation is below 5 meters (sq. km),Land area where elevation is below 5 meters (% of total land area),0.9217173935488788,Forest area (% of land area),0.9151342067670236,Land area (sq. km),0.9104097537617171,159
"Unemployment with advanced education, male (% of male labor force with advanced education)",Unemployment with advanced education (% of total labor force with advanced education),0.9210094848489859,Labor force with advanced education (% of total working-age population with advanced education),0.8633302623632537,"Labor force, total",0.44478269496726663,160
Urban land area where elevation is below 5 meters (sq. km),Forest area (% of land area),0.9207449183805516,Land area where elevation is below 5 meters (% of total land area),0.919664332847017,Land area (sq. km),0.9186769060067438,161
"Prevalence of current tobacco use, males (% of male adults)",Prevalence of current tobacco use (% of adults),0.9203607086942739,Energy use (kg of oil equivalent per capita),0.4962200927865865,"Use of IMF credit (DOD, current US$)",0.4744138188668132,162
Number of deaths ages 10-14 years,Number of under-five deaths,0.9196457850428308,Number of neonatal deaths,0.8904621610496521,Number of infant deaths,0.8811510003754233,163
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.9192266683882249,Electric power consumption (kWh per capita),0.5422271784609586,"Life expectancy at birth, total (years)",0.4785950466042532,164
"Community health workers (per 1,000 people)","Nurses and midwives (per 1,000 people)",0.9170498697811437,"Hospital beds (per 1,000 people)",0.9169923784492195,"Physicians (per 1,000 people)",0.9169770335868216,165
Consumption of iodized salt (% of households),Price level index (Households and NPISHs Final consumption expenditure),0.9138542715478376,Households and NPISHs Final consumption expenditure (current US$),0.8966466677940532,Households and NPISHs final consumption expenditure (% of GDP),0.8868720175625392,166
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.913807718618078,"Suicide mortality rate (per 100,000 population)",0.8934985999355022,"Mortality caused by road traffic injury (per 100,000 population)",0.8362312056075769,167
"Access to electricity, urban (% of urban population)",Population in urban agglomerations of more than 1 million,0.9115789942962852,Population in urban agglomerations of more than 1 million (% of total population),0.7404988116222263,Population in largest city,0.6632116115960494,168
"Unemployment with basic education, female (% of female labor force with basic education)",Unemployment with basic education (% of total labor force with basic education),0.9110200850649078,Labor force with basic education (% of total working-age population with basic education),0.837860660778246,"Labor force, total",0.4637359765086506,169
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.9105847907408416,"Suicide mortality rate (per 100,000 population)",0.8905254104498824,"Mortality caused by road traffic injury (per 100,000 population)",0.8334118765210128,170
Disaster risk reduction progress score (1-5 scale; 5=best),Statistical performance indicators (SPI): Overall score (scale 0-100),0.9076639984453703,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),0.8159086466209955,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),0.8159041943330164,171
"Unemployment with basic education, male (% of male labor force with basic education)",Unemployment with basic education (% of total labor force with basic education),0.9073647058956916,Labor force with basic education (% of total working-age population with basic education),0.8345330444758271,"Labor force, total",0.4637209591667377,172
"Adolescents out of school, female (% of female lower secondary school age)",Adolescents out of school (% of lower secondary school age),0.9055447231089254,Lower secondary school starting age (years),0.8325515157273614,Progression to secondary school (%),0.8211098396211887,173
"Literacy rate, youth total (% of people ages 15-24)","Literacy rate, adult total (% of people ages 15 and above)",0.904851944252901,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.7599151779583242,Young people (ages 15-24) newly infected with HIV,0.7566652588778533,174
Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),0.9041342413127302,Coverage of social safety net programs (% of population),0.799964765968491,Coverage of social protection and labor programs (% of population),0.7977168037266666,175
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.9019481335784746,"Employment to population ratio, 15+, total (%) (national estimate)",0.7289831913074343,Employment in industry (% of total employment) (modeled ILO estimate),0.5778879668909379,176
"Adolescents out of school, male (% of male lower secondary school age)",Adolescents out of school (% of lower secondary school age),0.9017993308457032,Lower secondary school starting age (years),0.8300887287510705,Progression to secondary school (%),0.8191366126528093,177
Time required to obtain an operating license (days),"Lead time to import, median case (days)",0.9014390876678787,"Lead time to export, median case (days)",0.8924925919100086,Newborns protected against tetanus (%),0.4642315102918133,178
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.9007954842008025,"Suicide mortality rate (per 100,000 population)",0.851266983735833,"Mortality caused by road traffic injury (per 100,000 population)",0.7956392922039257,179
"Employment to population ratio, ages 15-24, total (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)",0.9007844796890088,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.7341285166712186,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.5680633432338368,180
"Children out of school, female (% of female primary school age)",Children out of school (% of primary school age),0.9000118051235413,"Children out of school, primary",0.8381651683347665,Primary school starting age (years),0.7677342022898272,181
"Number of surgical procedures (per 100,000 population)","Mortality caused by road traffic injury (per 100,000 population)",0.8991493635712406,"Incidence of malaria (per 1,000 population at risk)",0.8301520928219575,"Automated teller machines (ATMs) (per 100,000 adults)",0.8278878625366525,182
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.8990947870738518,"Suicide mortality rate (per 100,000 population)",0.8498058938091266,"Mortality caused by road traffic injury (per 100,000 population)",0.794241635595765,183
Time to obtain an electrical connection (days),"Lead time to import, median case (days)",0.8976313737862295,"Lead time to export, median case (days)",0.8933312416518568,Newborns protected against tetanus (%),0.46428523676093914,184
"Children out of school, male (% of male primary school age)",Children out of school (% of primary school age),0.8961540108458077,"Children out of school, primary",0.8351990687725546,Primary school starting age (years),0.7647639374954075,185
"Access to clean fuels and technologies for cooking, urban (% of urban population)",Population in urban agglomerations of more than 1 million,0.8959936577898471,Access to clean fuels and technologies for cooking (% of population),0.7324393922034345,Population in urban agglomerations of more than 1 million (% of total population),0.7257333017531381,186
"Human capital index plus (HCI+): overall score, male (scale 0–325)","Human capital index plus (HCI+): health pillar score, male (scale 0–50)",0.8939268663145359,"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",0.8762293115281613,"Human capital index plus (HCI+): health pillar score, female (scale 0–50)",0.8738262930345866,187
"Human capital index plus (HCI+): overall score, female (scale 0–325)","Human capital index plus (HCI+): health pillar score, female (scale 0–50)",0.8938066867225035,"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",0.8768334088655241,"Human capital index plus (HCI+): health pillar score, male (scale 0–50)",0.8741900535535821,188
"Human capital index plus (HCI+): overall score, total (scale 0–325)","Human capital index plus (HCI+): health pillar score, total (scale 0–50)",0.8933062810781335,"Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30–87)",0.8889737481721978,"Human capital index plus (HCI+): health pillar score, female (scale 0–50)",0.8749077601692923,189
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),"Immunization, HepB3 (% of one-year-old children)",0.8932436039890805,Exclusive breastfeeding (% of children under 6 months),0.8858505199281407,"Prevalence of underweight, weight for age (% of children under 5)",0.7684236329513363,190
"Prevalence of HIV, female (% ages 15-24)","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.8925471464187681,Young people (ages 15-24) newly infected with HIV,0.8555845137523177,Adults (ages 15-49) newly infected with HIV,0.7137651006064775,191
"Prevalence of HIV, male (% ages 15-24)","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.8917975783369696,Young people (ages 15-24) newly infected with HIV,0.8545468516770861,Adults (ages 15-49) newly infected with HIV,0.7126614020069251,192
"Trained teachers in lower secondary education, female (% of female teachers)",Trained teachers in lower secondary education (% of total teachers),0.8878856445335044,Trained teachers in upper secondary education (% of total teachers),0.8684823910505307,Trained teachers in secondary education (% of total teachers),0.8655710380628019,193
Wanted fertility rate (births per woman),"Fertility rate, total (births per woman)",0.8856682700993348,"Mortality rate, infant (per 1,000 live births)",0.82487553537708,"Mortality rate, neonatal (per 1,000 live births)",0.8225741547963509,194
"Trained teachers in upper secondary education, female (% of female teachers)",Trained teachers in upper secondary education (% of total teachers),0.885254828077561,Trained teachers in secondary education (% of total teachers),0.8808998082346067,Trained teachers in lower secondary education (% of total teachers),0.8740567740047627,195
"Trained teachers in lower secondary education, male (% of male teachers)",Trained teachers in lower secondary education (% of total teachers),0.8847166136832132,Trained teachers in upper secondary education (% of total teachers),0.8660825744389389,Trained teachers in secondary education (% of total teachers),0.8626556673520216,196
"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)",0.8831197325044414,"Preprimary education, duration (years)",0.5944504872626226,Completeness of birth registration (%),0.592582309441185,197
"Trained teachers in upper secondary education, male (% of male teachers)",Trained teachers in upper secondary education (% of total teachers),0.8821449882821703,Trained teachers in secondary education (% of total teachers),0.8772794782552704,Trained teachers in lower secondary education (% of total teachers),0.8703425531036809,198
Number of deaths ages 15-19 years,Number of under-five deaths,0.8810957138298995,Number of neonatal deaths,0.8559034108255429,Number of infant deaths,0.8482019904851803,199
"Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",0.8801034374137995,Completeness of birth registration (%),0.5942804563301713,"Preprimary education, duration (years)",0.5894817993039705,200
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.8769726020240198,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.8283459648282844,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.7609075622400797,201
"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",0.8748730696804633,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.6596683083639063,Young people (ages 15-24) newly infected with HIV,0.6058832336814787,202
"Trained teachers in secondary education, female (% of female teachers)",Trained teachers in secondary education (% of total teachers),0.8741232882241988,Trained teachers in upper secondary education (% of total teachers),0.8727946657029617,Trained teachers in lower secondary education (% of total teachers),0.8633202378270073,203
"Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",0.8733417695651735,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.6592502013538221,Young people (ages 15-24) newly infected with HIV,0.6054000754287552,204
"Population, female (% of total population)","Population, total",0.8728263998242136,Population in urban agglomerations of more than 1 million (% of total population),0.7316481428824423,Population living in areas where elevation is below 5 meters (% of total population),0.7177973636367727,205
"Trained teachers in secondary education, male (% of male teachers)",Trained teachers in secondary education (% of total teachers),0.8706879661776568,Trained teachers in upper secondary education (% of total teachers),0.8699283236866012,Trained teachers in lower secondary education (% of total teachers),0.8598082619461368,206
"Suicide mortality rate, female (per 100,000 female population)","Suicide mortality rate (per 100,000 population)",0.8706372150980751,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.8618367479859178,"Mortality caused by road traffic injury (per 100,000 population)",0.800382767574963,207
"Trained teachers in primary education, female (% of female teachers)",Trained teachers in primary education (% of total teachers),0.8692475336797767,Trained teachers in preprimary education (% of total teachers),0.8295636559137654,Trained teachers in secondary education (% of total teachers),0.7799014345332497,208
"Population, male (% of total population)","Population, total",0.8685691368014733,Population in urban agglomerations of more than 1 million (% of total population),0.7297065044668075,Population living in areas where elevation is below 5 meters (% of total population),0.7157150276925583,209
"Suicide mortality rate, male (per 100,000 male population)","Suicide mortality rate (per 100,000 population)",0.8663602692496232,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.8574256625186645,"Mortality caused by road traffic injury (per 100,000 population)",0.7964444431481763,210
"Trained teachers in preprimary education, female (% of female teachers)",Trained teachers in preprimary education (% of total teachers),0.8662293742880195,Trained teachers in primary education (% of total teachers),0.8263997324778977,Trained teachers in secondary education (% of total teachers),0.8135723261362569,211
"Trained teachers in primary education, male (% of male teachers)",Trained teachers in primary education (% of total teachers),0.8655069786976971,Trained teachers in preprimary education (% of total teachers),0.8261367496738274,Trained teachers in secondary education (% of total teachers),0.7776372395683963,212
Children (0-14) living with HIV,Children (ages 0-14) newly infected with HIV,0.8629406408631445,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.7556494535954185,"Immunization, DPT (% of children ages 12-23 months)",0.7360773581843065,213
"Trained teachers in preprimary education, male (% of male teachers)",Trained teachers in preprimary education (% of total teachers),0.8624485522120092,Trained teachers in primary education (% of total teachers),0.822731874336759,Trained teachers in secondary education (% of total teachers),0.810989774233834,214
"Labor force participation rate for ages 15-24, total (%) (national estimate)","Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.862300295702817,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.7303527417622927,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.6800075066197426,215
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.8603871668933954,"Employment to population ratio, 15+, total (%) (national estimate)",0.6856283630829174,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.5672294024753981,216
Number of deaths ages 20-24 years,Number of under-five deaths,0.8598961847978784,Number of neonatal deaths,0.8236777878820706,Number of infant deaths,0.8148896166238089,217
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.859520631109668,"Employment to population ratio, 15+, total (%) (national estimate)",0.6845805580365015,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.567392153391224,218
"Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)",0.8587028222103767,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.6945415168629334,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.574012432819018,219
"Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)",0.8577417849696811,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.6941296301240653,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",0.5743175856105548,220
Women who were first married by age 15 (% of women ages 20-24),Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.8545043465116441,Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.8322787355404107,Unmet need for contraception (% of married women ages 15-49),0.8199603230364046,221
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),0.8535688723154037,Employment in services (% of total employment) (modeled ILO estimate),0.8194634312245708,Employment in industry (% of total employment) (modeled ILO estimate),0.814625042162066,222
"Employment in industry, female (% of female employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.8531115962310616,Employment in services (% of total employment) (modeled ILO estimate),0.8248052437226674,Employment in agriculture (% of total employment) (modeled ILO estimate),0.819306840273358,223
"Employment in services, female (% of female employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),0.8508599273485359,Employment in agriculture (% of total employment) (modeled ILO estimate),0.8176476611685424,Employment in industry (% of total employment) (modeled ILO estimate),0.8176009493019228,224
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),0.8492061028604253,Employment in services (% of total employment) (modeled ILO estimate),0.8149567328168875,Employment in industry (% of total employment) (modeled ILO estimate),0.8103860940424342,225
"People using safely managed drinking water services, urban (% of urban population)",People using safely managed drinking water services (% of population),0.8490553273147887,People using safely managed sanitation services (% of population),0.8468070015352908,People using at least basic drinking water services (% of population),0.805990144597762,226
"Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),0.8487174730818685,Employment in services (% of total employment) (modeled ILO estimate),0.8203143990666844,Employment in agriculture (% of total employment) (modeled ILO estimate),0.8151594486121663,227
Urban population growth (annual %),Population growth (annual %),0.8477484797012678,GDP growth (annual %),0.7138711836516348,GNI growth (annual %),0.7135353949956628,228
Rural population growth (annual %),Population growth (annual %),0.8465078307876642,GNI growth (annual %),0.715159558654133,GDP growth (annual %),0.7142646535720956,229
"Employment in services, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),0.8463200931754239,Employment in agriculture (% of total employment) (modeled ILO estimate),0.8135900116892139,Employment in industry (% of total employment) (modeled ILO estimate),0.8134687181858092,230
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",0.845340068272306,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",0.812768889134061,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",0.6888119025943572,231
"People using safely managed drinking water services, rural (% of rural population)",People using safely managed drinking water services (% of population),0.8429267480425695,People using safely managed sanitation services (% of population),0.8413516319554537,People using at least basic drinking water services (% of population),0.8016838665501811,232
